time U-r Ur_err r-J rJ_err r-H rH_err r-K rK_err
4.71964987724 1.0 1.0 0.951197493952 0.0403433488796 1.0 1.0 1.0 1.0
5.71664987724 1.0 1.0 1.02073820486 0.0315029443047 1.0 1.0 1.0 1.0
6.70764987724 1.0 1.0 1.04219713428 0.0313982400719 1.0 1.0 1.0 1.0
7.70764987724 1.0 1.0 1.03436372976 0.0329720006324 1.0 1.0 1.0 1.0
13.7176498772 1.0 1.0 1.25536982997 0.034143107579 1.0 1.0 1.0 1.0
17.7166498772 1.0 1.0 1.25945222058 0.0416939197265 1.0 1.0 1.0 1.0
19.7176498772 1.0 1.0 1.39888764182 0.0367700387182 1.0 1.0 1.0 1.0
20.7216498772 1.0 1.0 1.49617645835 0.0378025517993 1.0 1.0 1.0 1.0
29.7236498772 1.0 1.0 1.47672551875 0.195113102358 1.0 1.0 1.0 1.0
-5.29335012276 1.0 1.0 1.0 1.0 1.24846692299 0.065658835981 1.0 1.0
-3.28335012276 1.0 1.0 1.0 1.0 0.974225595001 0.0715061738296 1.0 1.0
-2.28235012275 1.0 1.0 1.0 1.0 0.972785407924 0.0400340721989 1.0 1.0
-1.29735012276 1.0 1.0 1.0 1.0 0.943476537829 0.0445610602826 1.0 1.0
-0.25735012276 1.0 1.0 1.0 1.0 1.15647525005 0.0569643365354 1.0 1.0
1.72964987724 1.0 1.0 1.0 1.0 1.10088044123 0.0574683125727 1.0 1.0
2.70864987724 1.0 1.0 1.0 1.0 0.982482554347 0.0486886600069 1.0 1.0
3.80364987724 1.0 1.0 1.0 1.0 1.10200933587 0.0670123162651 1.0 1.0
4.71964987724 1.0 1.0 1.0 1.0 1.05310501015 0.0693433488796 1.0 1.0
5.71664987724 1.0 1.0 1.0 1.0 1.05464572106 0.0525029443047 1.0 1.0
6.70764987724 1.0 1.0 1.0 1.0 1.20610465048 0.0573982400719 1.0 1.0
7.70764987724 1.0 1.0 1.0 1.0 1.35727124596 0.193972000632 1.0 1.0
13.7176498772 1.0 1.0 1.0 1.0 1.49127734617 0.270143107579 1.0 1.0
17.7166498772 1.0 1.0 1.0 1.0 1.73935973678 0.0726939197265 1.0 1.0
19.7176498772 1.0 1.0 1.0 1.0 1.59479515802 0.0807700387182 1.0 1.0
20.7216498772 1.0 1.0 1.0 1.0 1.67808397454 0.0568025517993 1.0 1.0
29.7236498772 1.0 1.0 1.0 1.0 1.73063303494 0.0741131023578 1.0 1.0
-5.29335012276 1.0 1.0 1.0 1.0 1.0 1.0 1.44240319876 0.047658835981
-3.28335012276 1.0 1.0 1.0 1.0 1.0 1.0 1.24416187077 0.19150617383
-2.28235012275 1.0 1.0 1.0 1.0 1.0 1.0 1.08772168369 0.0490340721989
-1.29735012276 1.0 1.0 1.0 1.0 1.0 1.0 1.1074128136 0.0485610602826
-0.25735012276 1.0 1.0 1.0 1.0 1.0 1.0 0.862411525817 0.115964336535
1.72964987724 1.0 1.0 1.0 1.0 1.0 1.0 1.196816717 0.0444683125727
2.70864987724 1.0 1.0 1.0 1.0 1.0 1.0 1.26741883012 0.0396886600069
3.80364987724 1.0 1.0 1.0 1.0 1.0 1.0 1.15594561164 0.0550123162651
4.71964987724 1.0 1.0 1.0 1.0 1.0 1.0 1.23704128592 0.0523433488796
5.71664987724 1.0 1.0 1.0 1.0 1.0 1.0 1.43758199683 0.0465029443047
6.70764987724 1.0 1.0 1.0 1.0 1.0 1.0 1.35304092625 0.0493982400719
7.70764987724 1.0 1.0 1.0 1.0 1.0 1.0 1.33620752173 0.0539720006324
13.7176498772 1.0 1.0 1.0 1.0 1.0 1.0 1.76621362194 0.044143107579
17.7166498772 1.0 1.0 1.0 1.0 1.0 1.0 1.52929601255 0.0926939197265
19.7176498772 1.0 1.0 1.0 1.0 1.0 1.0 2.01573143379 0.0467700387182
20.7216498772 1.0 1.0 1.0 1.0 1.0 1.0 1.89002025031 0.0538025517993
29.7236498772 1.0 1.0 1.0 1.0 1.0 1.0 2.10156931071 0.0691131023578
