time U-V UV_err U-B UB_err r-J rJ_err r-H rH_err r-K rK_err V-J VJ_err V-H VH_err V-K VK_err U-r Ur_err u-V uV_err
5.617748344790016 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 2.2186060287636833 0.06462853074374127
5.634216182246746 "" "" "" "" "" "" "" "" "" "" "" "" 0.7511088749224699 0.12460507206802765 "" "" "" "" "" ""
5.634216182246746 "" "" "" "" "" "" "" "" "" "" 0.776645311495647 0.06760507206802766 "" "" "" "" "" "" "" ""
5.768132460434572 "" "" "" "" "" "" "" "" "" "" 0.23899492693456006 0.030533648310771752 "" "" "" "" "" "" "" ""
5.768132460434572 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.3238351401933792 0.07553364831077175 "" "" "" ""
5.768132460434572 "" "" "" "" "" "" "" "" "" "" "" "" 0.08846413860191749 0.08553364831077176 "" "" "" "" "" ""
5.896402581493021 "" "" "" "" "" "" 0.595799213112911 0.08847682514724814 "" "" "" "" "" "" "" "" "" "" "" ""
5.896402581493021 "" "" "" "" 0.5474653308865616 0.06247682514724814 "" "" "" "" "" "" "" "" "" "" "" "" "" ""
5.896402581493021 "" "" "" "" "" "" "" "" 0.5453456803930392 0.08547682514724814 "" "" "" "" "" "" "" "" "" ""
6.596998344786698 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 2.1705037842965043 0.05809538805753486
6.643216182244942 "" "" "" "" "" "" "" "" "" "" 0.7680747523524346 0.11114137438810094 "" "" "" "" "" "" "" ""
6.643216182244942 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.5034533205795688 0.12314137438810094 "" "" "" ""
6.643216182244942 "" "" "" "" "" "" "" "" "" "" "" "" 0.7575383157792581 0.17114137438810095 "" "" "" "" "" ""
6.644227549360949 "" "" "" "" "" "" "" "" 0.868613873804602 0.05233575518197739 "" "" "" "" "" "" "" "" "" ""
6.644227549360949 "" "" "" "" 0.7367163584412997 0.06233575518197739 "" "" "" "" "" "" "" "" "" "" "" "" "" ""
6.644227549360949 "" "" "" "" "" "" 0.6944666542305411 0.10233575518197739 "" "" "" "" "" "" "" "" "" "" "" ""
6.770991144832806 "" "" "" "" "" "" 0.15997709277500657 0.04955942426968038 "" "" "" "" "" "" "" "" "" "" "" ""
6.770991144832806 "" "" "" "" 0.18030157147639564 0.03655942426968038 "" "" "" "" "" "" "" "" "" "" "" "" "" ""
6.770991144832806 "" "" "" "" "" "" "" "" 0.34247043966410096 0.05555942426968038 "" "" "" "" "" "" "" "" "" ""
6.9164025814970955 "" "" "" "" 0.6914363688176994 0.046937648589677396 "" "" "" "" "" "" "" "" "" "" "" "" "" ""
6.9164025814970955 "" "" "" "" "" "" "" "" 0.843316718324177 0.10993764858967739 "" "" "" "" "" "" "" "" "" ""
6.9164025814970955 "" "" "" "" "" "" 0.6567702510440504 0.0699376485896774 "" "" "" "" "" "" "" "" "" "" "" ""
6.9623625814929255 "" "" 0.5830864393327484 0.21531045556137846 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
6.966012581491668 "" "" 0.40480544069553553 0.19331172300174446 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
7.112963156039768 1.151381350026138 0.2759379230711009 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
7.635668344788428 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 2.4192918866210027 0.06533543340971178
7.646216182249191 "" "" "" "" "" "" "" "" "" "" 0.8526174626370576 0.058361215607232154 "" "" "" "" "" "" "" ""
7.646216182249191 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.4359960308641908 0.11636121560723216 "" "" "" ""
7.646216182249191 "" "" "" "" "" "" "" "" "" "" "" "" 0.7770810260638799 0.20936121560723214 "" "" "" "" "" ""
7.915402581493254 "" "" "" "" "" "" 0.49056833085564044 0.11139895928914492 "" "" "" "" "" "" "" "" "" "" "" ""
7.915402581493254 "" "" "" "" "" "" "" "" 0.949114798135769 0.10939895928914492 "" "" "" "" "" "" "" "" "" ""
7.915402581493254 "" "" "" "" 0.7302344486292913 0.05539895928914493 "" "" "" "" "" "" "" "" "" "" "" "" "" ""
8.679936828404607 "" "" "" "" "" "" "" "" "" "" "" "" 0.9096222784950125 0.19893077937673026 "" "" "" "" "" ""
8.679936828404607 "" "" "" "" "" "" "" "" "" "" 0.8884169904790431 0.03593077937673027 "" "" "" "" "" "" "" ""
8.679936828404607 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.5252142402825384 0.19893077937673026 "" "" "" ""
8.714227549360658 "" "" "" "" "" "" 0.8419996996434742 0.05234211960485233 "" "" "" "" "" "" "" "" "" "" "" ""
8.714227549360658 "" "" "" "" "" "" "" "" 1.0761469192175355 0.06234211960485233 "" "" "" "" "" "" "" "" "" ""
8.714227549360658 "" "" "" "" 0.7842494038542331 0.23234211960485232 "" "" "" "" "" "" "" "" "" "" "" "" "" ""
8.867766828407184 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.9247326916489564 0.17792709040322138
9.048402581494884 "" "" "" "" "" "" "" "" 0.7755206448245409 0.19776352824499382 "" "" "" "" "" "" "" "" "" ""
9.048402581494884 "" "" "" "" 0.6436402953180629 0.061763528244993836 "" "" "" "" "" "" "" "" "" "" "" "" "" ""
9.048402581494884 "" "" "" "" "" "" 0.6059741775444137 0.10476352824499384 "" "" "" "" "" "" "" "" "" "" "" ""
10.027402581494243 "" "" "" "" "" "" "" "" 0.6822747929842896 0.19795694363428423 "" "" "" "" "" "" "" "" "" ""
10.027402581494243 "" "" "" "" "" "" 0.878728325704162 0.08495694363428424 "" "" "" "" "" "" "" "" "" "" "" ""
10.027402581494243 "" "" "" "" 0.8453944434778136 0.05095694363428424 "" "" "" "" "" "" "" "" "" "" "" "" "" ""
10.59621618224628 "" "" "" "" "" "" "" "" "" "" 1.1399245618009652 0.058488536671760884 "" "" "" "" "" "" "" ""
10.59621618224628 "" "" "" "" "" "" "" "" "" "" "" "" 1.0023881252277898 0.20948853667176087 "" "" "" "" "" ""
10.854886828405142 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.7764390930196443 0.17585969063448278
12.09912315604015 1.394409543849306 0.39535509624672693 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
13.608216182248725 "" "" "" "" "" "" "" "" "" "" 1.1022041172200063 0.05581060964851379 "" "" "" "" "" "" "" ""
13.608216182248725 "" "" "" "" "" "" "" "" "" "" "" "" 1.1706676806468304 0.20881060964851378 "" "" "" "" "" ""
13.863402581497212 "" "" "" "" "" "" "" "" 1.303534372980936 0.0940241867740707 "" "" "" "" "" "" "" "" "" ""
13.863402581497212 "" "" "" "" "" "" 0.8979879057008118 0.0970241867740707 "" "" "" "" "" "" "" "" "" "" "" ""
13.863402581497212 "" "" "" "" 1.051654023474461 0.1990241867740707 "" "" "" "" "" "" "" "" "" "" "" "" "" ""
14.060352581494953 "" "" 0.1781196109447894 0.3983163238322658 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
14.063972581490816 "" "" -0.07237041123621174 0.3233153736354059 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
14.592216182245465 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.8982127925141603 0.24766267847277448 "" "" "" ""
